"Year","Rank","Team","Points"
"2021","154","Grambling","24.49"
"2021","155","Austin Peay","24.23"
"2021","156","Tennessee Tech","21.96"
"2021","157","Kennesaw State","20.61"
"2021","158","Charleston Southern","19.50"
"2021","159","Columbia","18.29"
"2021","160","Jacksonville State","16.83"
"2021","161","Sacramento State","16.08"
"2021","162","Brown","15.57"
"2021","163","Alabama A&M","15.36"
"2021","164","Lehigh","14.77"
"2021","165","Prairie View A&M","14.18"
"2021","166","North Dakota","13.76"
"2021","167","Sam Houston","13.67"
"2021","168","William & Mary","13.30"
"2021","169","McNeese","13.17"
"2021","170","Tennessee State","13.15"
"2021","172","Southern Illinois","12.65"
"2021","173","Western Carolina","12.61"
"2021","174","Maine","12.51"
"2021","175","Chattanooga","12.15"
"2021","176","Duquesne","12.14"
"2021","177","Texas Southern","11.04"
"2021","178","Towson","10.54"
"2021","179","Villanova","10.53"
"2021","180","Northwestern State","10.53"
"2021","181","Holy Cross","10.14"
"2021","182","Lafayette","10.14"
"2021","183","Texas State","9.46"
"2021","184","San Diego","9.32"
"2021","185","Gardner-Webb","8.92"
"2021","186","Rhode Island","8.92"
"2021","187","Fordham","8.69"
"2021","188","Northern Colorado","8.31"
"2021","189","UAlbany","7.31"
"2021","190","Montana","7.30"
"2021","191","Portland State","7.30"
"2021","192","Campbell","6.80"
"2021","193","Wofford","5.80"
